Freq.	V(out)
5.24807460249771e+00	(-7.92518966679313e+01dB,-9.59586660544013e+01°)
5.37031796370252e+00	(-7.86538740782041e+01dB,-9.60965778929578e+01°)
5.49540873857623e+00	(-7.80559437114227e+01dB,-9.62376397048432e+01°)
5.62341325190348e+00	(-7.74581098209477e+01dB,-9.63819204579336e+01°)
5.75439937337156e+00	(-7.68603768523610e+01dB,-9.65294904190208e+01°)
5.88843655355588e+00	(-7.62627494507606e+01dB,-9.66804211636504e+01°)
6.02559586074356e+00	(-7.56652324708250e+01dB,-9.68347855830282e+01°)
6.16595001861481e+00	(-7.50678309823984e+01dB,-9.69926578931469e+01°)
6.30957344480192e+00	(-7.44705502833824e+01dB,-9.71541136373605e+01°)
6.45654229034654e+00	(-7.38733959072104e+01dB,-9.73192296916305e+01°)
6.60693448007594e+00	(-7.32763736326716e+01dB,-9.74880842666516e+01°)
6.76082975391980e+00	(-7.26794894950685e+01dB,-9.76607569073184e+01°)
6.91830970918935e+00	(-7.20827497955148e+01dB,-9.78373284919953e+01°)
7.07945784384136e+00	(-7.14861611128404e+01dB,-9.80178812277976e+01°)
7.24435960074988e+00	(-7.08897303149138e+01dB,-9.82024986442776e+01°)
7.41310241300916e+00	(-7.02934645687512e+01dB,-9.83912655860445e+01°)
7.58577575029182e+00	(-6.96973713542361e+01dB,-9.85842681998131e+01°)
7.76247116628690e+00	(-6.91014584760812e+01dB,-9.87815939203779e+01°)
7.94328234724279e+00	(-6.85057340755882e+01dB,-9.89833314540772e+01°)
8.12830516164097e+00	(-6.79102066448306e+01dB,-9.91895707569636e+01°)
8.31763771102669e+00	(-6.73148850397166e+01dB,-9.94004030107781e+01°)
8.51138038202374e+00	(-6.67197784934664e+01dB,-9.96159205950899e+01°)
8.70963589956078e+00	(-6.61248966309392e+01dB,-9.98362170548587e+01°)
8.91250938133743e+00	(-6.55302494842312e+01dB,-1.00061387062591e+02°)
9.12010839355907e+00	(-6.49358475067134e+01dB,-1.00291526377838e+02°)
9.33254300796988e+00	(-6.43417015862907e+01dB,-1.00526731803157e+02°)
9.54992586021433e+00	(-6.37478230654533e+01dB,-1.00767101127441e+02°)
9.77237220955808e+00	(-6.31542237515963e+01dB,-1.01012733075129e+02°)
9.99999999999997e+00	(-6.25609159377308e+01dB,-1.01263727237851e+02°)
1.02329299228075e+01	(-6.19679124173873e+01dB,-1.01520184006763e+02°)
1.04712854805090e+01	(-6.13752264983616e+01dB,-1.01782204500339e+02°)
1.07151930523760e+01	(-6.07828720244978e+01dB,-1.02049890475276e+02°)
1.09647819614318e+01	(-6.01908633875518e+01dB,-1.02323344242920e+02°)
1.12201845430196e+01	(-5.95992155479160e+01dB,-1.02602668566747e+02°)
1.14815362149688e+01	(-5.90079440494191e+01dB,-1.02887966559658e+02°)
1.17489755493953e+01	(-5.84170650369059e+01dB,-1.03179341569246e+02°)
1.20226443461741e+01	(-5.78265952738541e+01dB,-1.03476897054073e+02°)
1.23026877081238e+01	(-5.72365521586920e+01dB,-1.03780736452464e+02°)
1.25892541179416e+01	(-5.66469537416206e+01dB,-1.04090963040836e+02°)
1.28824955169313e+01	(-5.60578187401701e+01dB,-1.04407679783725e+02°)
1.31825673855640e+01	(-5.54691665569416e+01dB,-1.04730989169634e+02°)
1.34896288259165e+01	(-5.48810172927840e+01dB,-1.05060993042875e+02°)
1.38038426460288e+01	(-5.42933917647087e+01dB,-1.05397792416040e+02°)
1.41253754462275e+01	(-5.37063115185753e+01dB,-1.05741487278701e+02°)
1.44543977074592e+01	(-5.31197988426282e+01dB,-1.06092176392204e+02°)
1.47910838816820e+01	(-5.25338767805642e+01dB,-1.06449957072064e+02°)
1.51356124843620e+01	(-5.19485691434942e+01dB,-1.06814924958624e+02°)
1.54881661891248e+01	(-5.13639005208240e+01dB,-1.07187173775513e+02°)
1.58489319246111e+01	(-5.07798962880156e+01dB,-1.07566795079510e+02°)
1.62181009735892e+01	(-5.01965826160021e+01dB,-1.07953877992419e+02°)
1.65958690743755e+01	(-4.96139864760781e+01dB,-1.08348508926384e+02°)
1.69824365246174e+01	(-4.90321356453530e+01dB,-1.08750771292603e+02°)
1.73780082874937e+01	(-4.84510587079974e+01dB,-1.09160745202738e+02°)
1.77827941003892e+01	(-4.78707850566668e+01dB,-1.09578507153959e+02°)
1.81970085860998e+01	(-4.72913448877516e+01dB,-1.10004129711120e+02°)
1.86208713666286e+01	(-4.67127692005181e+01dB,-1.10437681164149e+02°)
1.90546071796324e+01	(-4.61350897852534e+01dB,-1.10879225193695e+02°)
1.94984459975804e+01	(-4.55583392158537e+01dB,-1.11328820510890e+02°)
1.99526231496887e+01	(-4.49825508344655e+01dB,-1.11786520499514e+02°)
2.04173794466952e+01	(-4.44077587347595e+01dB,-1.12252372846167e+02°)
2.08929613085403e+01	(-4.38339977418685e+01dB,-1.12726419163412e+02°)
2.13796208950222e+01	(-4.32613033862231e+01dB,-1.13208694613873e+02°)
2.18776162394954e+01	(-4.26897118760262e+01dB,-1.13699227524344e+02°)
2.23872113856833e+01	(-4.21192600650937e+01dB,-1.14198038998986e+02°)
2.29086765276776e+01	(-4.15499854142940e+01dB,-1.14705142538168e+02°)
2.34422881531991e+01	(-4.09819259505921e+01dB,-1.15220543653681e+02°)
2.39883291901948e+01	(-4.04151202214269e+01dB,-1.15744239487889e+02°)
2.45470891568502e+01	(-3.98496072423630e+01dB,-1.16276218445001e+02°)
2.51188643150957e+01	(-3.92854264419354e+01dB,-1.16816459825353e+02°)
2.57039578276885e+01	(-3.87226176011467e+01dB,-1.17364933472178e+02°)
2.63026799189537e+01	(-3.81612207862108e+01dB,-1.17921599438316e+02°)
2.69153480392690e+01	(-3.76012762795097e+01dB,-1.18486407660000e+02°)
2.75422870333815e+01	(-3.70428245020690e+01dB,-1.19059297662079e+02°)
2.81838293126444e+01	(-3.64859059338373e+01dB,-1.19640198277890e+02°)
2.88403150312659e+01	(-3.59305610282134e+01dB,-1.20229027398614e+02°)
2.95120922666637e+01	(-3.53768301209853e+01dB,-1.20825691755869e+02°)
3.01995172040200e+01	(-3.48247533375295e+01dB,-1.21430086727640e+02°)
3.09029543251358e+01	(-3.42743704929852e+01dB,-1.22042096190476e+02°)
3.16227766016837e+01	(-3.37257209904589e+01dB,-1.22661592404159e+02°)
3.23593656929627e+01	(-3.31788437140758e+01dB,-1.23288435945015e+02°)
3.31131121482590e+01	(-3.26337769228266e+01dB,-1.23922475669074e+02°)
3.38844156139201e+01	(-3.20905581363957e+01dB,-1.24563548744372e+02°)
3.46736850452530e+01	(-3.15492240229911e+01dB,-1.25211480717547e+02°)
3.54813389233574e+01	(-3.10098102841353e+01dB,-1.25866085638976e+02°)
3.63078054770100e+01	(-3.04723515405085e+01dB,-1.26527166233727e+02°)
3.71535229097171e+01	(-2.99368812140706e+01dB,-1.27194514143573e+02°)
3.80189396320559e+01	(-2.94034314145177e+01dB,-1.27867910208987e+02°)
